Date;Price
2003-11-03;26337
2003-11-04;26360
2003-11-05;26216
2003-11-06;26355
2003-11-07;26670
2003-11-10;26586
2003-11-11;26361
2003-11-12;26498
2003-11-13;26672
2003-11-14;26782
2003-11-17;26357
2003-11-18;26505
2003-11-19;26447
2003-11-20;26368
2003-11-21;26367
2003-11-24;26869
2003-11-25;26927
2003-11-26;26939
2003-11-27;27089
2003-11-28;27156
2003-12-01;27478
2003-12-02;27453
2003-12-03;27650
2003-12-04;27807
2003-12-05;27620
2003-12-08;27488
2003-12-09;27489
2003-12-10;27282
2003-12-11;27501
2003-12-12;27368
2003-12-15;27537
2003-12-16;27459
2003-12-17;27486
2003-12-18;27632
2003-12-19;27378
2003-12-22;26884
2003-12-23;26856
2003-12-24;26856
2003-12-25;26856
2003-12-26;26856
2003-12-29;27020
2003-12-30;26887
2003-12-31;26887
2004-01-01;26887
2004-01-02;27384
2004-01-05;27530
2004-01-06;27652
2004-01-07;27187
2004-01-08;27503
2004-01-09;27441
2004-01-12;27471
2004-01-13;27393
2004-01-14;27631
2004-01-15;27742
2004-01-16;27861
2004-01-19;28133
2004-01-20;28040
2004-01-21;28137
2004-01-22;28095
2004-01-23;28130
2004-01-26;28114
2004-01-27;28240
2004-01-28;28308
2004-01-29;28033
2004-01-30;27774
2004-02-02;27840
2004-02-03;27655
2004-02-04;27677
2004-02-05;27525
2004-02-06;27587
2004-02-09;27897
2004-02-10;27906
2004-02-11;27902
2004-02-12;27880
2004-02-13;27579
2004-02-16;27672
2004-02-17;27849
2004-02-18;27836
2004-02-19;28013
2004-02-20;27807
2004-02-23;27932
2004-02-24;27750
2004-02-25;27806
2004-02-26;27881
2004-02-27;27957
2004-03-01;28188
2004-03-02;28290
2004-03-03;28209
2004-03-04;28323
2004-03-05;28359
2004-03-08;28443
2004-03-09;28341
2004-03-10;28350
2004-03-11;27695
2004-03-12;27548
2004-03-15;26881
2004-03-16;26952
2004-03-17;27209
2004-03-18;26837
2004-03-19;26858
2004-03-22;26470
2004-03-23;26472
2004-03-24;26479
2004-03-25;26834
2004-03-26;26869
2004-03-29;27250
2004-03-30;27181
2004-03-31;27148
2004-04-01;27400
2004-04-02;27877
2004-04-05;28072
2004-04-06;27997
2004-04-07;27888
2004-04-08;27985
2004-04-09;27985
2004-04-12;27985
2004-04-13;28430
2004-04-14;28232
2004-04-15;28200
2004-04-16;28350
2004-04-19;28262
2004-04-20;28437
2004-04-21;28257
2004-04-22;28416
2004-04-23;28489
2004-04-26;28550
2004-04-27;28542
2004-04-28;28294
2004-04-29;28111
2004-04-30;28020
2004-05-03;28232
2004-05-04;28158
2004-05-05;28318
2004-05-06;27734
2004-05-07;27687
2004-05-10;27069
2004-05-11;27405
2004-05-12;27111
2004-05-13;27395
2004-05-14;27289
2004-05-17;26959
2004-05-18;27080
2004-05-19;27526
2004-05-20;27435
2004-05-21;27373
2004-05-24;27101
2004-05-25;26989
2004-05-26;27267
2004-05-27;27378
2004-05-28;27344
2004-05-31;27355
2004-06-01;27231
2004-06-02;27329
2004-06-03;27315
2004-06-04;27532
2004-06-07;27781
2004-06-08;27841
2004-06-09;27783
2004-06-10;27955
2004-06-11;27933
2004-06-14;27729
